,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100153,575,1627745,Damian Jones,1610612758,Sacramento Kings,4,5,29,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,1,20211108,SAC,PHX
1,Shot Chart Detail,0022100153,628,1627745,Damian Jones,1610612758,Sacramento Kings,4,1,55,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211108,SAC,PHX
2,Shot Chart Detail,0022100166,687,1627745,Damian Jones,1610612758,Sacramento Kings,4,0,21,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211110,SAS,SAC
3,Shot Chart Detail,0022100200,648,1627745,Damian Jones,1610612758,Sacramento Kings,4,0,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,235,63,1,1,20211115,DET,SAC
4,Shot Chart Detail,0022100238,499,1627745,Damian Jones,1610612758,Sacramento Kings,3,2,10,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,17,1,1,20211119,SAC,TOR
5,Shot Chart Detail,0022100238,519,1627745,Damian Jones,1610612758,Sacramento Kings,3,1,4,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,53,1,0,20211119,SAC,TOR
6,Shot Chart Detail,0022100238,510,1627745,Damian Jones,1610612758,Sacramento Kings,3,1,2,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20211119,SAC,TOR
7,Shot Chart Detail,0022100238,527,1627745,Damian Jones,1610612758,Sacramento Kings,4,11,35,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20211119,SAC,TOR
8,Shot Chart Detail,0022100238,653,1627745,Damian Jones,1610612758,Sacramento Kings,4,0,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-120,232,1,0,20211119,SAC,TOR
9,Shot Chart Detail,0022100279,472,1627745,Damian Jones,1610612758,Sacramento Kings,3,2,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,16,1,1,20211124,SAC,POR
10,Shot Chart Detail,0022100279,498,1627745,Damian Jones,1610612758,Sacramento Kings,3,0,22,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211124,SAC,POR
11,Shot Chart Detail,0022100279,563,1627745,Damian Jones,1610612758,Sacramento Kings,4,8,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,12,1,1,20211124,SAC,POR
12,Shot Chart Detail,0022100279,591,1627745,Damian Jones,1610612758,Sacramento Kings,4,7,27,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,29,1,0,20211124,SAC,POR
13,Shot Chart Detail,0022100279,654,1627745,Damian Jones,1610612758,Sacramento Kings,4,2,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,21,1,1,20211124,SAC,POR
14,Shot Chart Detail,0022100291,149,1627745,Damian Jones,1610612758,Sacramento Kings,1,1,55,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,186,42,1,1,20211126,LAL,SAC
15,Shot Chart Detail,0022100303,250,1627745,Damian Jones,1610612758,Sacramento Kings,2,7,25,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20211128,MEM,SAC
16,Shot Chart Detail,0022100303,691,1627745,Damian Jones,1610612758,Sacramento Kings,4,3,38,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20211128,MEM,SAC
17,Shot Chart Detail,0022100393,621,1627745,Damian Jones,1610612758,Sacramento Kings,4,6,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,13,1,1,20211211,CLE,SAC
18,Shot Chart Detail,0022100393,693,1627745,Damian Jones,1610612758,Sacramento Kings,4,0,10,Missed Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,13,1,0,20211211,CLE,SAC
19,Shot Chart Detail,0022100406,178,1627745,Damian Jones,1610612758,Sacramento Kings,2,10,29,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,22,1,0,20211213,TOR,SAC
20,Shot Chart Detail,0022100406,186,1627745,Damian Jones,1610612758,Sacramento Kings,2,9,54,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211213,TOR,SAC
21,Shot Chart Detail,0022100406,195,1627745,Damian Jones,1610612758,Sacramento Kings,2,9,23,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211213,TOR,SAC
22,Shot Chart Detail,0022100440,140,1627745,Damian Jones,1610612758,Sacramento Kings,1,1,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,20,1,1,20211217,SAC,MEM
23,Shot Chart Detail,0022100440,320,1627745,Damian Jones,1610612758,Sacramento Kings,2,3,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,1,20211217,SAC,MEM
24,Shot Chart Detail,0022100451,122,1627745,Damian Jones,1610612758,Sacramento Kings,1,3,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20211219,SAC,SAS
25,Shot Chart Detail,0022100451,126,1627745,Damian Jones,1610612758,Sacramento Kings,1,2,44,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,0,20211219,SAC,SAS
26,Shot Chart Detail,0022100451,128,1627745,Damian Jones,1610612758,Sacramento Kings,1,2,41,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20211219,SAC,SAS
27,Shot Chart Detail,0022100451,135,1627745,Damian Jones,1610612758,Sacramento Kings,1,2,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20211219,SAC,SAS
28,Shot Chart Detail,0022100451,144,1627745,Damian Jones,1610612758,Sacramento Kings,1,1,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,65,237,1,1,20211219,SAC,SAS
29,Shot Chart Detail,0022100451,148,1627745,Damian Jones,1610612758,Sacramento Kings,1,0,59,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-50,34,1,0,20211219,SAC,SAS
30,Shot Chart Detail,0022100451,185,1627745,Damian Jones,1610612758,Sacramento Kings,2,10,17,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,14,1,0,20211219,SAC,SAS
31,Shot Chart Detail,0022100451,303,1627745,Damian Jones,1610612758,Sacramento Kings,2,3,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,3,1,1,20211219,SAC,SAS
32,Shot Chart Detail,0022100451,316,1627745,Damian Jones,1610612758,Sacramento Kings,2,1,21,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-2,98,1,0,20211219,SAC,SAS
33,Shot Chart Detail,0022100451,437,1627745,Damian Jones,1610612758,Sacramento Kings,3,4,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,15,1,1,20211219,SAC,SAS
34,Shot Chart Detail,0022100451,440,1627745,Damian Jones,1610612758,Sacramento Kings,3,3,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,67,248,1,1,20211219,SAC,SAS
35,Shot Chart Detail,0022100451,467,1627745,Damian Jones,1610612758,Sacramento Kings,3,2,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,18,1,0,20211219,SAC,SAS
36,Shot Chart Detail,0022100451,486,1627745,Damian Jones,1610612758,Sacramento Kings,3,1,10,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,1,20211219,SAC,SAS
37,Shot Chart Detail,0022100451,493,1627745,Damian Jones,1610612758,Sacramento Kings,3,0,33,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20211219,SAC,SAS
38,Shot Chart Detail,0022100451,513,1627745,Damian Jones,1610612758,Sacramento Kings,4,10,54,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-37,118,1,0,20211219,SAC,SAS
39,Shot Chart Detail,0022100462,145,1627745,Damian Jones,1610612758,Sacramento Kings,1,0,5,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,10,1,0,20211220,GSW,SAC
40,Shot Chart Detail,0022100475,295,1627745,Damian Jones,1610612758,Sacramento Kings,2,0,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,21,1,0,20211222,SAC,LAC
41,Shot Chart Detail,0022100475,301,1627745,Damian Jones,1610612758,Sacramento Kings,2,0,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,75,184,1,1,20211222,SAC,LAC
42,Shot Chart Detail,0022100496,80,1627745,Damian Jones,1610612758,Sacramento Kings,1,6,7,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20211226,SAC,MEM
43,Shot Chart Detail,0022100496,88,1627745,Damian Jones,1610612758,Sacramento Kings,1,4,59,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,10,1,1,20211226,SAC,MEM
44,Shot Chart Detail,0022100496,112,1627745,Damian Jones,1610612758,Sacramento Kings,1,3,47,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,7,1,1,20211226,SAC,MEM
45,Shot Chart Detail,0022100496,115,1627745,Damian Jones,1610612758,Sacramento Kings,1,3,11,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,153,42,1,1,20211226,SAC,MEM
46,Shot Chart Detail,0022100496,280,1627745,Damian Jones,1610612758,Sacramento Kings,2,5,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,124,228,1,0,20211226,SAC,MEM
47,Shot Chart Detail,0022100496,310,1627745,Damian Jones,1610612758,Sacramento Kings,2,3,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,1,20211226,SAC,MEM
48,Shot Chart Detail,0022100496,317,1627745,Damian Jones,1610612758,Sacramento Kings,2,2,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,116,232,1,0,20211226,SAC,MEM
49,Shot Chart Detail,0022100496,608,1627745,Damian Jones,1610612758,Sacramento Kings,4,8,33,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20211226,SAC,MEM
50,Shot Chart Detail,0022100515,237,1627745,Damian Jones,1610612758,Sacramento Kings,2,6,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20211228,SAC,OKC
51,Shot Chart Detail,0022100515,247,1627745,Damian Jones,1610612758,Sacramento Kings,2,5,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20211228,SAC,OKC
