,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100010,46,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,7,55,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,36,1,0,20211020,SAS,ORL
1,Shot Chart Detail,0022100010,57,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,7,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-6,1,1,20211020,SAS,ORL
2,Shot Chart Detail,0022100010,195,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,2,10,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-16,188,1,0,20211020,SAS,ORL
3,Shot Chart Detail,0022100010,317,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,2,3,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,8,1,1,20211020,SAS,ORL
4,Shot Chart Detail,0022100010,355,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,2,1,34,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,97,-1,1,0,20211020,SAS,ORL
5,Shot Chart Detail,0022100010,390,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,11,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,0,20211020,SAS,ORL
6,Shot Chart Detail,0022100010,406,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,10,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7,78,1,0,20211020,SAS,ORL
7,Shot Chart Detail,0022100010,421,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,9,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-54,248,1,1,20211020,SAS,ORL
8,Shot Chart Detail,0022100010,443,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,8,3,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,SAS,ORL
9,Shot Chart Detail,0022100010,446,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,7,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,60,178,1,1,20211020,SAS,ORL
10,Shot Chart Detail,0022100018,21,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,10,29,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,8,1,0,20211022,ORL,NYK
11,Shot Chart Detail,0022100018,29,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,9,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,17,1,1,20211022,ORL,NYK
12,Shot Chart Detail,0022100018,93,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,4,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,169,184,1,1,20211022,ORL,NYK
13,Shot Chart Detail,0022100018,246,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,2,6,39,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-76,261,1,0,20211022,ORL,NYK
14,Shot Chart Detail,0022100018,571,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,4,5,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,2,1,0,20211022,ORL,NYK
15,Shot Chart Detail,0022100018,577,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,4,5,8,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,ORL,NYK
16,Shot Chart Detail,0022100018,611,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,4,3,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,22,288,1,0,20211022,ORL,NYK
17,Shot Chart Detail,0022100036,20,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-150,205,1,0,20211024,NYK,ORL
18,Shot Chart Detail,0022100036,70,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,1,6,41,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20211024,NYK,ORL
19,Shot Chart Detail,0022100036,281,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,2,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,69,256,1,1,20211024,NYK,ORL
20,Shot Chart Detail,0022100036,371,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,9,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-227,38,1,0,20211024,NYK,ORL
21,Shot Chart Detail,0022100036,399,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,7,22,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-4,1,1,20211024,NYK,ORL
22,Shot Chart Detail,0022100036,416,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,3,5,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-7,1,1,20211024,NYK,ORL
23,Shot Chart Detail,0022100036,600,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,4,5,41,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-2,1,1,20211024,NYK,ORL
24,Shot Chart Detail,0022100036,637,1628976,Wendell Carter Jr.,1610612753,Orlando Magic,4,2,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-1,1,0,20211024,NYK,ORL
