,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,154,1629672,Eric Paschall,1610612762,Utah Jazz,1,0,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,26,1,0,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,189,1629672,Eric Paschall,1610612762,Utah Jazz,2,9,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,5,1,0,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,453,1629672,Eric Paschall,1610612762,Utah Jazz,3,2,35,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-5,1,1,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,524,1629672,Eric Paschall,1610612762,Utah Jazz,4,8,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,180,177,1,0,20211020,UTA,OKC
4,Shot Chart Detail,0022100026,160,1629672,Eric Paschall,1610612762,Utah Jazz,1,0,45,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-91,99,1,0,20211022,SAC,UTA
5,Shot Chart Detail,0022100026,496,1629672,Eric Paschall,1610612762,Utah Jazz,3,2,19,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,154,199,1,1,20211022,SAC,UTA
6,Shot Chart Detail,0022100026,552,1629672,Eric Paschall,1610612762,Utah Jazz,4,11,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,176,181,1,0,20211022,SAC,UTA
7,Shot Chart Detail,0022100054,145,1629672,Eric Paschall,1610612762,Utah Jazz,2,11,48,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,18,1,0,20211026,UTA,DEN
8,Shot Chart Detail,0022100068,204,1629672,Eric Paschall,1610612762,Utah Jazz,2,9,12,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,12,39,1,1,20211028,HOU,UTA
9,Shot Chart Detail,0022100068,219,1629672,Eric Paschall,1610612762,Utah Jazz,2,8,26,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,38,1,1,20211028,HOU,UTA
10,Shot Chart Detail,0022100068,236,1629672,Eric Paschall,1610612762,Utah Jazz,2,7,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,1,20211028,HOU,UTA
11,Shot Chart Detail,0022100068,546,1629672,Eric Paschall,1610612762,Utah Jazz,4,9,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,43,1,1,20211028,HOU,UTA
12,Shot Chart Detail,0022100068,673,1629672,Eric Paschall,1610612762,Utah Jazz,4,1,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,241,9,1,0,20211028,HOU,UTA
13,Shot Chart Detail,0022100083,185,1629672,Eric Paschall,1610612762,Utah Jazz,2,9,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-2,1,0,20211030,CHI,UTA
14,Shot Chart Detail,0022100083,187,1629672,Eric Paschall,1610612762,Utah Jazz,2,9,28,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211030,CHI,UTA
15,Shot Chart Detail,0022100091,159,1629672,Eric Paschall,1610612762,Utah Jazz,2,10,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,129,240,1,0,20211031,MIL,UTA
16,Shot Chart Detail,0022100091,187,1629672,Eric Paschall,1610612762,Utah Jazz,2,8,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,132,226,1,1,20211031,MIL,UTA
17,Shot Chart Detail,0022100091,473,1629672,Eric Paschall,1610612762,Utah Jazz,4,11,25,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,0,1,0,20211031,MIL,UTA
18,Shot Chart Detail,0022100091,497,1629672,Eric Paschall,1610612762,Utah Jazz,4,8,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-3,1,0,20211031,MIL,UTA
19,Shot Chart Detail,0022100091,513,1629672,Eric Paschall,1610612762,Utah Jazz,4,7,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,-3,1,0,20211031,MIL,UTA
20,Shot Chart Detail,0022100091,517,1629672,Eric Paschall,1610612762,Utah Jazz,4,7,20,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211031,MIL,UTA
21,Shot Chart Detail,0022100105,159,1629672,Eric Paschall,1610612762,Utah Jazz,1,1,0,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,1,20211102,UTA,SAC
22,Shot Chart Detail,0022100105,192,1629672,Eric Paschall,1610612762,Utah Jazz,2,10,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-98,239,1,0,20211102,UTA,SAC
23,Shot Chart Detail,0022100120,137,1629672,Eric Paschall,1610612762,Utah Jazz,1,0,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,17,1,0,20211104,ATL,UTA
24,Shot Chart Detail,0022100120,447,1629672,Eric Paschall,1610612762,Utah Jazz,3,2,11,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-8,1,1,20211104,ATL,UTA
25,Shot Chart Detail,0022100120,484,1629672,Eric Paschall,1610612762,Utah Jazz,4,11,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-83,235,1,0,20211104,ATL,UTA
26,Shot Chart Detail,0022100120,496,1629672,Eric Paschall,1610612762,Utah Jazz,4,10,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,223,10,1,0,20211104,ATL,UTA
