,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,103,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,4,34,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-67,20,1,0,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,143,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,1,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,23,131,1,0,20211019,MIL,BKN
2,Shot Chart Detail,0022100021,94,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,4,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-89,29,1,1,20211022,PHI,BKN
3,Shot Chart Detail,0022100021,98,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,3,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,199,167,1,0,20211022,PHI,BKN
4,Shot Chart Detail,0022100021,103,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,3,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-10,188,1,0,20211022,PHI,BKN
5,Shot Chart Detail,0022100021,127,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,1,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,81,162,1,1,20211022,PHI,BKN
6,Shot Chart Detail,0022100021,134,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,0,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,7,191,1,1,20211022,PHI,BKN
7,Shot Chart Detail,0022100021,138,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,0,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,76,194,1,1,20211022,PHI,BKN
8,Shot Chart Detail,0022100021,409,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,5,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-114,100,1,1,20211022,PHI,BKN
9,Shot Chart Detail,0022100021,491,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,10,17,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-6,1,1,20211022,PHI,BKN
10,Shot Chart Detail,0022100021,501,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,9,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-42,167,1,1,20211022,PHI,BKN
11,Shot Chart Detail,0022100021,573,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,5,16,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,55,-5,1,1,20211022,PHI,BKN
12,Shot Chart Detail,0022100021,586,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,3,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,PHI,BKN
13,Shot Chart Detail,0022100021,622,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,0,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20211022,PHI,BKN
14,Shot Chart Detail,0022100035,91,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,5,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,113,18,1,0,20211024,BKN,CHA
15,Shot Chart Detail,0022100035,124,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,3,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-110,159,1,1,20211024,BKN,CHA
16,Shot Chart Detail,0022100035,230,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,8,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,23,71,1,0,20211024,BKN,CHA
17,Shot Chart Detail,0022100035,333,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,2,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,5,209,1,1,20211024,BKN,CHA
18,Shot Chart Detail,0022100035,341,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,1,7,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,5,1,1,20211024,BKN,CHA
19,Shot Chart Detail,0022100035,475,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,4,15,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-8,1,1,20211024,BKN,CHA
20,Shot Chart Detail,0022100035,552,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,10,26,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,0,20211024,BKN,CHA
21,Shot Chart Detail,0022100057,78,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,5,19,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-6,1,1,20211027,BKN,MIA
22,Shot Chart Detail,0022100057,116,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,2,59,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,6,1,0,20211027,BKN,MIA
23,Shot Chart Detail,0022100057,156,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,85,241,1,0,20211027,BKN,MIA
24,Shot Chart Detail,0022100057,433,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,4,35,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211027,BKN,MIA
25,Shot Chart Detail,0022100057,472,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,1,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-104,156,1,1,20211027,BKN,MIA
26,Shot Chart Detail,0022100072,137,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,2,24,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,0,20211029,BKN,IND
27,Shot Chart Detail,0022100072,193,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,120,157,1,1,20211029,BKN,IND
28,Shot Chart Detail,0022100072,207,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,132,152,1,1,20211029,BKN,IND
29,Shot Chart Detail,0022100072,220,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,9,40,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-118,16,1,0,20211029,BKN,IND
30,Shot Chart Detail,0022100072,505,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,3,5,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-85,163,1,1,20211029,BKN,IND
31,Shot Chart Detail,0022100072,509,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,2,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-127,150,1,1,20211029,BKN,IND
32,Shot Chart Detail,0022100072,518,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,1,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,89,197,1,1,20211029,BKN,IND
33,Shot Chart Detail,0022100072,539,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,0,17,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-17,68,1,1,20211029,BKN,IND
34,Shot Chart Detail,0022100072,594,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,9,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-1,180,1,0,20211029,BKN,IND
35,Shot Chart Detail,0022100072,606,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,8,24,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-124,62,1,0,20211029,BKN,IND
36,Shot Chart Detail,0022100072,626,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,7,19,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211029,BKN,IND
37,Shot Chart Detail,0022100072,684,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,3,33,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,0,20211029,BKN,IND
38,Shot Chart Detail,0022100072,686,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,3,30,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211029,BKN,IND
39,Shot Chart Detail,0022100072,692,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,2,24,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-150,21,1,1,20211029,BKN,IND
40,Shot Chart Detail,0022100072,701,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,1,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,38,1,0,20211029,BKN,IND
41,Shot Chart Detail,0022100072,728,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,0,23,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5,1,1,20211029,BKN,IND
42,Shot Chart Detail,0022100092,92,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,3,54,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,6,154,1,1,20211031,BKN,DET
43,Shot Chart Detail,0022100092,133,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,0,38,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,28,59,1,1,20211031,BKN,DET
44,Shot Chart Detail,0022100092,156,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-127,96,1,1,20211031,BKN,DET
45,Shot Chart Detail,0022100092,171,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,9,5,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,44,1,1,20211031,BKN,DET
46,Shot Chart Detail,0022100092,187,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,7,46,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-38,69,1,1,20211031,BKN,DET
47,Shot Chart Detail,0022100092,207,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,5,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,44,83,1,0,20211031,BKN,DET
48,Shot Chart Detail,0022100092,393,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,2,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-16,111,1,1,20211031,BKN,DET
49,Shot Chart Detail,0022100092,421,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,0,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,1,20211031,BKN,DET
50,Shot Chart Detail,0022100113,116,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,2,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,4,159,1,1,20211103,BKN,ATL
51,Shot Chart Detail,0022100113,135,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,1,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,123,233,1,1,20211103,BKN,ATL
52,Shot Chart Detail,0022100113,148,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,0,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-23,252,1,1,20211103,BKN,ATL
53,Shot Chart Detail,0022100113,175,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,57,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,74,125,1,0,20211103,BKN,ATL
54,Shot Chart Detail,0022100113,184,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,0,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,70,75,1,0,20211103,BKN,ATL
55,Shot Chart Detail,0022100113,200,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,8,36,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-62,123,1,1,20211103,BKN,ATL
56,Shot Chart Detail,0022100113,225,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,6,35,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,222,-4,1,0,20211103,BKN,ATL
57,Shot Chart Detail,0022100113,502,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,10,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,37,245,1,0,20211103,BKN,ATL
58,Shot Chart Detail,0022100124,190,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,9,33,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,-77,110,1,0,20211105,DET,BKN
59,Shot Chart Detail,0022100124,225,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,7,16,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-45,96,1,0,20211105,DET,BKN
60,Shot Chart Detail,0022100124,456,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,1,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,104,1,1,1,20211105,DET,BKN
61,Shot Chart Detail,0022100124,467,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,0,12,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,88,16,1,1,20211105,DET,BKN
62,Shot Chart Detail,0022100124,493,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,11,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,102,143,1,1,20211105,DET,BKN
63,Shot Chart Detail,0022100124,519,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,8,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-70,96,1,1,20211105,DET,BKN
64,Shot Chart Detail,0022100124,529,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,7,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-129,-18,1,1,20211105,DET,BKN
65,Shot Chart Detail,0022100124,533,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,7,16,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-42,120,1,1,20211105,DET,BKN
66,Shot Chart Detail,0022100124,551,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,6,25,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-7,94,1,0,20211105,DET,BKN
67,Shot Chart Detail,0022100139,193,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,7,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-124,141,1,0,20211107,TOR,BKN
68,Shot Chart Detail,0022100139,224,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,5,14,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,27,1,0,20211107,TOR,BKN
69,Shot Chart Detail,0022100139,472,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,9,28,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,36,1,0,20211107,TOR,BKN
70,Shot Chart Detail,0022100148,101,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,3,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,54,221,1,0,20211108,CHI,BKN
71,Shot Chart Detail,0022100148,105,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,2,29,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,-15,1,1,20211108,CHI,BKN
72,Shot Chart Detail,0022100148,132,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,0,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-39,162,1,1,20211108,CHI,BKN
73,Shot Chart Detail,0022100148,157,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-82,162,1,1,20211108,CHI,BKN
74,Shot Chart Detail,0022100148,159,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,0,1,1,20211108,CHI,BKN
75,Shot Chart Detail,0022100148,163,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,9,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-137,16,1,1,20211108,CHI,BKN
76,Shot Chart Detail,0022100148,202,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,6,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-49,188,1,1,20211108,CHI,BKN
77,Shot Chart Detail,0022100148,215,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,5,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,54,181,1,1,20211108,CHI,BKN
78,Shot Chart Detail,0022100148,403,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,4,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,-184,62,1,0,20211108,CHI,BKN
79,Shot Chart Detail,0022100148,430,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,2,26,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,53,36,1,0,20211108,CHI,BKN
80,Shot Chart Detail,0022100148,446,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,1,36,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,37,1,1,20211108,CHI,BKN
81,Shot Chart Detail,0022100148,477,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,11,6,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,136,20,1,0,20211108,CHI,BKN
82,Shot Chart Detail,0022100148,489,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,10,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,54,55,1,0,20211108,CHI,BKN
83,Shot Chart Detail,0022100159,120,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,2,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,123,165,1,0,20211110,ORL,BKN
84,Shot Chart Detail,0022100159,124,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,2,31,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-10,47,1,1,20211110,ORL,BKN
85,Shot Chart Detail,0022100159,137,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,1,1,11,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211110,ORL,BKN
86,Shot Chart Detail,0022100159,168,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,54,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,74,111,1,1,20211110,ORL,BKN
87,Shot Chart Detail,0022100159,173,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,10,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-157,206,1,1,20211110,ORL,BKN
88,Shot Chart Detail,0022100159,193,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,9,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,61,209,1,1,20211110,ORL,BKN
89,Shot Chart Detail,0022100159,208,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,8,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-92,186,1,0,20211110,ORL,BKN
90,Shot Chart Detail,0022100159,217,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,7,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,-13,1,1,20211110,ORL,BKN
91,Shot Chart Detail,0022100159,221,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,2,7,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,13,260,1,1,20211110,ORL,BKN
92,Shot Chart Detail,0022100159,439,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,3,5,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-146,206,1,0,20211110,ORL,BKN
93,Shot Chart Detail,0022100159,542,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,11,17,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-113,88,1,0,20211110,ORL,BKN
94,Shot Chart Detail,0022100159,565,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,9,53,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,-4,1,0,20211110,ORL,BKN
95,Shot Chart Detail,0022100159,574,200746,LaMarcus Aldridge,1610612751,Brooklyn Nets,4,9,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,130,89,1,1,20211110,ORL,BKN
